ac_no,ac_name_x,regions,caste,locality,district,s_no,candidate_name,party,evm_votes,postal_votes,votes,vote_share,st_name,st_no,ac_name_y,constituency_code,position,total_votes,margin,margin_percent,vote_share_percent,margin_buckets_percent,margin_buckets_votes
5,Kudachi,Maharashtra - Karnataka,SC,Rural,Belgaum ,8,NOTA,None of the Above,640,3,643,0.43,Karnataka,S10,Kudachi,5,5.0,150040,34.0,0.022660623833644363,0.42855238603039186,(0-5),Less than 1000
5,Kudachi,Maharashtra - Karnataka,SC,Rural,Belgaum ,5,C M KRISHNA,Dr. Ambedkar People's Party,608,1,609,0.41,Karnataka,S10,Kudachi,5,6.0,150040,240.0,0.15995734470807785,0.40589176219674755,(0-5),Less than 1000
5,Kudachi,Maharashtra - Karnataka,SC,Rural,Belgaum ,2,KADROLLI CHANDRAKANT,Bahujan Samaj Party,368,1,369,0.25,Karnataka,S10,Kudachi,5,7.0,150040,155.0,0.10330578512396695,0.24593441748866968,(0-5),Less than 1000
5,Kudachi,Maharashtra - Karnataka,SC,Rural,Belgaum ,7,YALLAPPA YAMANAPPA SHINGE,Independent,214,0,214,0.14,Karnataka,S10,Kudachi,5,8.0,150040,,,0.14262863236470275,(>20),>20000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,1,AIHOLE DURYODHAN MAHALINGAPPA,Bharatiya Janata Party,57164,336,57500,34.79,Karnataka,S10,Raybag,6,1.0,165288,2570.0,1.5548618169498087,34.78776438700934,(0-5),Between 1000 & 5000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,10,SHAMBHU KALLOLIKAR,Independent,54533,397,54930,33.23,Karnataka,S10,Raybag,6,2.0,165288,29537.0,17.87002081215817,33.23290257005953,(10-20),>20000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,2,PRADEEPKUMAR R MALAGI,Janata Dal  (Secular),25263,130,25393,15.36,Karnataka,S10,Raybag,6,3.0,165288,2708.0,1.6383524514786312,15.36288175790136,(0-5),Between 1000 & 5000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,3,MAHAVEER LAXMAN MOHITE,Indian National Congress,22550,135,22685,13.72,Karnataka,S10,Raybag,6,4.0,165288,20825.0,12.59922075407773,13.724529306422728,(10-20),>20000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,11,NOTA,None of the Above,1859,1,1860,1.13,Karnataka,S10,Raybag,6,5.0,165288,803.0,0.48581869222206087,1.125308552344998,(0-5),Less than 1000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,4,SHANKAR SUBRAV KHATEDAR,Aam Aadmi Party,1055,2,1057,0.64,Karnataka,S10,Raybag,6,6.0,165288,338.0,0.2044915541358114,0.639489860122937,(0-5),Less than 1000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,9,YAMANAPPA HANAMANTH KUDARI,Independent,716,3,719,0.43,Karnataka,S10,Raybag,6,7.0,165288,399.0,0.24139683461594308,0.43499830598712547,(0-5),Less than 1000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,7,BASAVANNI PUNDALIK DODDALING,Independent,318,2,320,0.19,Karnataka,S10,Raybag,6,8.0,165288,29.0,0.017545133343013407,0.19360147137118242,(0-5),Less than 1000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,6,ASHOK NEELAPPA DANDINAVAR,Independent,291,0,291,0.18,Karnataka,S10,Raybag,6,9.0,165288,3.0,0.0018150137941048351,0.17605633802816903,(0-5),Less than 1000
6,Raybag,Maharashtra - Karnataka,SC,Rural,Belgaum ,8,BHIMSEEN DATTU SANADI,Independent,287,1,288,0.17,Karnataka,S10,Raybag,6,10.0,165288,43.0,0.02601519771550264,0.1742413242340642,(0-5),Less than 1000
