ac_no,ac_name_x,regions,caste,locality,district,s_no,candidate_name,party,evm_votes,postal_votes,votes,vote_share,st_name,st_no,ac_name_y,constituency_code,position,total_votes,margin,margin_percent,vote_share_percent,margin_buckets_percent,margin_buckets_votes
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,9,CHIKKAIAH,Independent,298,0,298,0.16,Karnataka,S10,Melukote,188,11,183883,85,0.046225045,0.16205957,(0-5),Less than 1000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,11,RAVI KUMARA,Independent,213,0,213,0.12,Karnataka,S10,Melukote,188,12,183883,,,0.115834525,(>20),>20000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,3,RAVIKUMAR GOWDA (GANIGA),Indian National Congress,60845,566,61411,35.18,Karnataka,S10,Mandya,189,1,174546,2019,1.156715135,35.18327547,(0-5),Between 1000 & 5000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,4,B.R. RAMACHANDRA,Janata Dal (Secular),58996,396,59392,34.03,Karnataka,S10,Mandya,189,2,174546,28731,16.46041731,34.02656033,(10-20),>20000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,1,ASHOK S.D JAYARAM,Bharatiya Janata Party,30240,421,30661,17.57,Karnataka,S10,Mandya,189,3,174546,15327,8.781066309,17.56614302,(5-10),Between 10000 & 20000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,14,K.S. VIJAYANANDA,Independent,15195,139,15334,8.79,Karnataka,S10,Mandya,189,4,174546,12896,7.388310245,8.785076713,(5-10),Between 10000 & 20000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,7,MADHUCHANDAN ORGANIC,Sarvodaya Karnataka Paksha,2426,12,2438,1.4,Karnataka,S10,Mandya,189,5,174546,1416,0.811247465,1.396766468,(0-5),Between 1000 & 5000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,13,LOLA BELLUNDAGERE,Independent,1021,1,1022,0.59,Karnataka,S10,Mandya,189,6,174546,62,0.035520722,0.585519004,(0-5),Less than 1000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,2,BUDANURU BOMMAIAH,Aam Aadmi Party,960,0,960,0.55,Karnataka,S10,Mandya,189,7,174546,30,0.017187446,0.549998281,(0-5),Less than 1000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,16,NOTA,None of the Above,924,6,930,0.53,Karnataka,S10,Mandya,189,8,174546,92,0.052708169,0.532810835,(0-5),Less than 1000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,5,SHIVASHANKARA .S,Bahujan Samaj Party,813,25,838,0.48,Karnataka,S10,Mandya,189,9,174546,373,0.213697249,0.480102666,(0-5),Less than 1000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,12,N. BASAVARAJU,Independent,465,0,465,0.27,Karnataka,S10,Mandya,189,10,174546,142,0.081353912,0.266405417,(0-5),Less than 1000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,15,SENE SHIVARAMU H.C.,Independent,323,0,323,0.19,Karnataka,S10,Mandya,189,11,174546,106,0.060728977,0.185051505,(0-5),Less than 1000
189,Mandya,Old Mysor,Vokkaliga,Semi Urban,Mandya ,6,NAGARAJ GAVIGOWDA,Karnataka Rashtra Samithi,217,0,217,0.12,Karnataka,S10,Mandya,189,12,174546,34,0.019479106,0.124322528,(0-5),Less than 1000
